genus,count
Fitzwillia,1
Lifago,1
Carminatia,4
Chromolepis,1
Hyoseris,6
Garuleum,8
Stenocline,3
Neojeffreya,1
Irwinia,1
Zemisia,1
Peucephyllum,1
Digitacalia,5
Myxopappus,2
Tenrhynea,1
Marticorenia,1
Petrobium,1
Benitoa,1
Cuatrecasasiella,2
Diaphractanthus,1
Grauanthus,2
Hydropectis,3
Plazia,2
Dipterocome,1
Notoseris,6
Rhodogeron,1
Cymbopappus,3
Mesoneuris,1
Colobanthera,1
Laxmannia,15
Caesulia,1
Carlquistia,1
Lulia,1
Vernonella,12
Agrianthus,8
Antherotoma,11
Wollastonia,4
Erythroseris,2
Koyamasia,2
Phaneroglossa,1
Schmidtia,3
Decaneuropsis,12
Sonchella,2
Orbivestus,10
Radlkoferotoma,3
Rhynchospermum,1
Bebbia,2
Pseudelephantopus,2
Tugarinovia,1
Triplocephalum,1
Phalacrachena,2
Plectocephalus,4
Tarlmounia,1
Tessaria,4
Pleocarphus,1
Asteropsis,1
Schlechtendalia,1
Acanthodesmos,1
Eupatorina,2
Porphyrostemma,3
Iodocephalopsis,1
Garberia,1
Angeldiazia,1
Gelasia,44
Omphalopappus,1
Amblysperma,1
Vinicia,1
Stenops,2
Synedrellopsis,1
Neohintonia,1
Hystrichophora,1
Berardia,1
Chiliophyllum,1
Koelpinia,6
Rayjacksonia,3
Dichaetophora,1
Cylindrocline,2
Badilloa,11
Pterachaenia,2
Psathyrotes,3
Myanmaria,1
Lamyropsis,5
Micractis,3
Gnomophalium,1
Holoschkuhria,2
Hybridella,1
Brocchia,1
Tehuana,1
Litogyne,1
Pachythamnus,1
Dendrocacalia,2
Morithamnus,2
Centaurothamnus,1
Picrothamnus,1
Isoetopsis,1
Quinqueremulus,1
Polychrysum,1
Delamerea,1
Gymnocondylus,1
Eutrochium,5
Curio,5
Lantanopsis,2
Jeffreya,2
Rastrophyllum,2
Crocidium,2
Mantisalca,5
Thaminophyllum,3
Philoglossa,2
Leucosyris,9
Borrichia,3
Turaniphytum,2
Lonas,1
Oxyphyllum,1
Stebbinsoseris,2
Phitosia,1
Anteremanthus,1
Chiliotrichum,2
Pyrrhopappus,4
Acomis,4
Syntrichopappus,1
Phaenocoma,1
Avellara,1
Marasmodes,5
Thevenotia,2
Glossarion,2
Dipterocypsela,1
Phalacroseris,1
Dymondia,1
Pithecoseris,1
Shinnersia,1
Cacosmia,3
Lemooria,1
Holozonia,1
Tracyina,1
Tourneuxia,1
Scherya,1
Humeocline,1
Ligulariopsis,1
Laphangium,3
Delairea,2
Villasenoria,1
Crambella,1
Takhtajaniantha,10
Sartorina,1
Oligomeris,4
Vigethia,1
Didelta,2
Akeassia,1
Floscaldasia,2
Dolichlasium,1
Hyalis,2
Acanthostyles,2
Harnackia,1
Sartwellia,4
Goldmanella,1
Welwitschiella,1
Sphagneticola,4
Gorteria,4
Hartwrightia,1
Chlamydophora,1
Urolepis,1
Boeberastrum,3
Willemetia,2
Artemisiella,1
Pyrethropsis,1
Hyalochlamys,1
Opisthopappus,3
Glebionis,2
Alvordia,2
Oxypappus,1
Sanvitalia,6
Thiseltonia,1
Linochilus,1
Cadiscus,1
Karelinia,1
Osmiopsis,1
Tetraperone,1
Revealia,1
Pechuel-loeschea,1
Bethencourtia,3
Calopappus,1
Chrysogonum,3
Tilesia,4
Trioncinia,1
Fenixia,1
Pelucha,1
Unxia,3
Synedrella,1
Iocenes,1
Raouliopsis,2
Leptoclinium,1
Diacranthera,3
Elachanthemum,1
Macrachaenium,1
Russowia,1
Geraea,2
Jensia,2
Lawrencella,2
Anthematricaria,1
Decastylocarpus,1
Heterorhachis,2
Lidbeckia,2
Trichospira,1
Galeomma,2
Eatonella,1
Toiyabea,4
Ajaniopsis,1
Chrysanthemoides,2
Kaschgaria,2
Leucophyta,1
Petradoria,1
Tuberculocarpus,1
Plagiobasis,1
Narvalina,1
Mausolea,1
Boeberoides,1
Gorceixia,1
Femeniasia,1
Asanthus,3
Cololobus,3
Stuessya,1
Bartlettia,1
Goyazianthus,1
Aposeris,1
Aynia,1
Neopallasia,1
Gymnodiscus,3
Quechualia,4
Perralderia,3
Rhinactinidia,1
Dolichothrix,1
Nothobaccharis,1
Koehneola,1
Hypericophyllum,11
Dissothrix,1
Flosmutisia,1
Argyroglottis,1
Freya,1
Xiphochaeta,1
Lindheimera,2
Medranoa,5
Amphiachyris,1
Paenula,1
Thurovia,1
Pachylaena,2
Bolanosa,1
Trilisa,1
Jacmaia,1
Schlagintweitia,4
Crossostephium,2
Ditrichum,67
Novaguinea,1
Haegiela,1
Barkleyanthus,1
Alomiella,2
Hemizonella,1
Berylsimpsonia,2
Macvaughiella,2
Lapsana,1
Trichoptilium,1
Pterochaeta,1
Monarrhenus,1
Eastwoodia,1
Ceruana,1
Tessenia,1
Heterocoma,1
Doniophyton,2
Arctotheca,5
Dicerothamnus,2
Piora,1
Amblyopappus,1
Anisochaeta,1
Daveaua,1
Merrittia,1
Elekmania,1
Phalacraea,4
Cephalopappus,1
Stramentopappus,1
Blumeopsis,2
Heteranthemis,2
Bishopanthus,1
Ixiolaena,1
Hilliardia,1
Dieteria,3
Shafera,1
Hymenostemma,1
Castanedia,1
Dicercoclados,1
Gardnerina,1
Tuxtla,1
Bradburia,2
Huarpea,1
Paracalia,3
Venegasia,1
Critoniadelphus,2
Eupatoriopsis,1
Jamesianthus,1
Cuspidia,1
Karvandarina,1
Cronquistia,1
Melanoseris,36
Ekmaniopappus,1
Muschleria,1
Pleurocarpaea,2
Otanthus,1
Leto,1
Comaclinium,1
Strotheria,1
Trichocoryne,1
Tephrothamnus,1
Hoplophyllum,2
Calotesta,1
Gymnosperma,1
Acrisione,1
Pleiacanthus,1
Apostates,1
Siebera,2
Trepadonia,2
Chloracantha,4
Ondetia,1
Blanchetia,1
Joseanthus,5
Filifolium,1
Dresslerothamnus,2
Rugelia,1
Lachnorhiza,2
Proteopsis,1
Balbisia,10
Nivellea,1
Feldstonia,1
Ambassa,1
Lepidophyllum,1
Callistephus,1
Iodocephalus,1
Dielitzia,1
Stachycephalum,3
Acilepidopsis,1
