"names","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state","trait","cd"
"Anaphalis_aureopunctata",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Anaphalis_hancockii",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Antennaria_parvifolia",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Antennaria_neglecta",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Inula_conyza",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196691,0.22170704529607,"AM","RD",TRUE
"Xanthisma_spinulosum",0.00100488201973305,0.172946239349867,0.0766975796983003,-0.901833732929319,-0.901833732904501,0.221738211789452,"AM","RD",TRUE
"Symphyotrichum_oolentangiense",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Symphyotrichum_falcatum",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Symphyotrichum_ciliolatum",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Symphyotrichum_puniceum",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Symphyotrichum_laeve",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Symphyotrichum_novae-angliae",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Symphyotrichum_ericoides",0.0010048820204316,0.172946239349867,0.0766867994476669,-0.902056443504994,-0.902056443494009,0.221707045310569,"AM","RD",TRUE
"Chrysopsis_villosa",0.00100551539096942,0.172946239349867,0.0766867994426519,-0.901883214099737,-0.901883214098607,0.22170704529607,"AM","RD",TRUE
"Solidago_ptarmicoides",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Solidago_nemoralis",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
