source, https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2745.13412
phylo.name,photosynthetic.pathway,avg.RGR,leaf.N,leaf.C,SLA,LDMC,leaf.PC1,leaf.PC2,root.N,root.C,SRL,SRA,root.avg.diam.mm,root.PC1,root.PC2
Setaria_italica,C4,0.11522199,0.811298598,3.729700976,5.727104702,2.873106752,-0.32166308,0.092005147,-0.040114524,3.824932821,9.677212357,7.197550333,-1.307205955,-0.261686694,-0.137863363
Setaria_leucopila,C4,0.146943716,0.719551734,3.687929597,5.727609713,2.727550429,-0.565331558,0.51051047,0.202933686,3.810311047,10.02464613,7.337561025,-1.510271541,-0.662676768,0.197197808
Setaria_verticillata,C4,0.149222669,1.121812369,3.701947697,6.205777495,2.625018269,-1.105391855,-0.150554236,0.059859384,3.815766069,9.735883013,7.277293884,-1.286901617,-0.312628017,0.028884701
Setaria_viridis,C4,0.077130742,0.722010798,3.699996402,5.733359777,3.035417139,-0.245622394,0.40665099,-0.405057622,3.893808366,10.14544298,7.442688008,-1.544118446,-0.827893617,-0.85642727
Sorghum_amplum,C4,0.027111178,0.318401494,3.742006774,5.250212548,3.408692012,0.714498238,0.639238976,-0.635313394,3.806333015,9.547619408,7.142567208,-1.247837618,-0.023943839,-0.636555871
Sorghum_angustum,C4,0.041802642,0.487845416,3.732795542,5.432418241,3.429077721,0.521023822,0.478409553,-0.334829125,3.81946036,9.867962258,7.382500701,-1.326611359,-0.408419344,-0.370276593
Sorghum_arundinaceum,C4,0.140598055,0.871914228,3.78182423,5.832932596,2.940317462,-0.212392797,-0.397011091,-0.078883534,3.788721095,8.973205069,6.774615493,-1.00659314,0.560463519,-0.031338971
Sorghum_bicolor,C4,0.145263568,0.667166741,3.78375217,5.657584688,2.992318655,0.027727776,-0.146895287,-0.25199094,3.790016589,9.244598196,6.991330607,-1.092467596,0.282197308,-0.179467941
Sorghum_ecarinatum,C4,0.027004345,0.365807394,3.757491972,5.224513313,3.38871267,0.755707209,0.478391073,-0.48524631,3.788050556,9.068832376,6.772196722,-1.134291281,0.470935009,-0.445048107
Sorghum_propinquum,C4,0.159218522,0.75841685,3.784592762,5.850053452,3.004502132,-0.142582059,-0.302118578,-0.597310172,3.836428556,9.681116406,7.249036796,-1.242800261,-0.177162179,-0.743485779
Sorghum_timorense,C4,0.044625769,1.010494015,3.75363267,5.833529219,3.03533442,-0.223703495,-0.335573364,0.067699967,3.777487647,9.484152503,7.18160115,-1.11055836,0.040657538,0.244641765
Spartina_pectinata,C4,0.106799184,0.971961748,3.757197106,5.174019004,3.15697013,0.492699929,-0.151774317,0.168829982,3.763208355,9.553179577,7.230065821,-1.150274072,-0.04146497,0.429802107
Spodiopogon_sibiricus,C4,0.062400876,1.018652557,3.751686325,6.05381225,2.984947329,-0.473676651,-0.385912097,0.259766863,3.788771928,9.897102467,7.245827852,-1.456287733,-0.494312503,0.361084951
Sporobolus_fimbriatus,C4,0.173787523,1.016517028,3.749094181,5.879624518,3.010139842,-0.302254173,-0.319098035,0.00265429,3.838925746,9.625567174,7.054822415,-1.411201997,-0.275882703,-0.206946256
Sporobolus_helvolus,C4,0.185000083,0.991729058,3.756257491,5.644061139,3.143383588,0.056837677,-0.288605098,NA,NA,NA,NA,NA,NA,NA
Sporobolus_indicus,C4,0.054873421,0.993829627,3.761769763,5.577356485,3.051589145,0.044794673,-0.312584302,0.159342648,3.815725747,9.926192308,7.309690286,-1.443923474,-0.553142187,0.123156731
Sporobolus_pyramidalis,C4,0.209339394,1.07040216,3.768363747,5.650322207,3.055390378,-0.008756435,-0.464027573,-0.070131219,3.84163976,10.01433885,7.237046672,-1.616416285,-0.69911824,-0.276040497
Stipa_capensis,C3,0.076086424,0.755686293,3.753621564,5.041325153,3.348926401,0.813106898,0.137370954,-0.303466952,3.786031519,9.507781139,7.059024236,-1.276991626,-0.004469544,-0.209298231
