"","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state","trait","cd"
"Halimium_commutatum2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.7789068058903,1.17973067006215,"EcM","SRL",TRUE
"Helianthemum_syriacum2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.77890681058554,1.17973066852785,"EcM","SRL",TRUE
"Helianthemum_apenninum2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.77890680745538,1.17973066955071,"EcM","SRL",TRUE
"Helianthemum_almeriense2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.77890681058554,1.17973066852785,"EcM","SRL",TRUE
"Helianthemum_oelandicum2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.77890680902046,1.17973066903929,"EcM","SRL",TRUE
"Thymelaea_hirsuta2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Tetractomia_tetrandra2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.3921650527055,"AM","SRL",TRUE
"Melicope_pteleifolia2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.3921650527055,"AM","SRL",TRUE
"Vepris_nobilis2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.3921650527055,"AM","SRL",TRUE
"Phellodendron_amurense2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.3921650527055,"AM","SRL",TRUE
