binominal,F00679,F00727
Dryopteris sparsa,0.2196333,131.0412245
Castanopsis faberi,0.2048375,118.927973
Trachelospermum axillare,0.28415,69.95675676
Alniphyllum fortunei,0.2681333,91.81550725
Choerospondias axillaris,0.29845,54.41443396
Alniphyllum fortunei,0.2812333,86.5843956
Cryptomeria japonica,0.3974833,50.72764606
Machilus nanmu,0.5219833,24.53237451
Smilax trinervula,0.3091333,109.7159016
Strobilanthes dimorphotricha,0.2688,136.4411732
Strobilanthes villosum,0.2319556,187.4048069
Alpinia japonica,0.16895,246.0725
Cunninghamia lanceolata,0.3738583,60.90875525
Magnolia maudiae,0.66375,16.44043478
Castanopsis fargesii,0.2027,114.7843243
Castanopsis eyrei,0.1946333,102.2997561
Elaeocarpus sylvestris,0.2392333,82.85767857
Embelia vestita,0.20785,96.43036364
Parthenocissus quinquefolia,0.1757667,152.6108108
Blastus pauciflorus,0.1627833,242.4380923
Dendropanax dentiger,0.1273,223.2676
Trachelospermum axillare,0.29865,85.08024691
Ardisia japonica,0.2301,101.4998413
Oreocnide frutescens,0.2392,94.0809434
Betula platyphylla,0.3478,121.6424342
Syringa reticulata,0.2088,199.3514809
Abies nephrolepis,0.4152333,27.04585714
Ulmus davidiana,0.2789667,152.6998485
Philadelphus incanus,0.2011,109.7769281
Betula costata,0.3284333,111.4147338
Actinidia kolomikta,0.23,224.5237681
Deutzia glabrata,0.184,214.6035484
Juglans mandshurica,0.2217,106.656829
Picea koraiensis,0.2969333,46.82073894
Pinus koraiensis,0.3935333,22.28955321
Acer caudatum,0.2359,87.39493519
Phellodendron amurense,0.4916333,42.5135018
Veratrum nigrum,0.2892,160.4064634
Convallaria majalis,0.4035,55.08335277
Euonymus verrucosus,0.2293,164.0066066
Caltha palustris,0.2098,346.6829091
Acer tegmentosum,0.34824,76.06995076
Populus koreana,0.223,106.681
Acer pictum,0.2908,82.61784845
Filipendula palmata,0.183,220.6077778
Larix gmelinii,0.4224667,22.36121931
Saussurea amurensis,0.2011,245.9616667
Adiantum pedatum,0.2284333,116.5385412
Tilia amurensis,0.2074,131.046438
Fraxinus mandshurica,0.2561,91.71619755
Lithocarpus cleistocarpus,0.274125,68.80162393
Sanicula orthacantha,0.194725,151.7144068
Corylus ferox,0.2532,68.29596537
Astilbe rivularis,0.38425,36.77078652
Cornus controversa,0.65355,14.69760833
Quercus serrata,0.1831875,128.324
Quercus multinervis,0.231575,77.13546392
Rhododendron hypoglaucum,0.142675,163.4402532
Pinus armandii,0.2882125,47.3779098
Salvia chinensis,0.1592,329.3590909
Cornus ulotricha,0.6110875,13.28886489
Pteridium aquilinum,0.2511,109.2390984
Dryopteris sparsa,0.177875,248.7854167
Euptelea pleiosperma,0.3194083,60.28073226
Coriaria nepalensis,0.44,31.30576369
Quercus oxyodon,0.181225,173.8745652
Lespedeza thunbergii,0.2289,116.4530579
Fagus engleriana,0.184175,93.53339118
Schoepfia jasminodora,0.19095,81.48262136
Acer davidii,0.287225,74.36800694
Quercus aliena,0.2042625,113.6647347
Lindera obtusiloba,0.261375,92.51081301
Populus cathayana,0.215925,144.1070455
Cunninghamia lanceolata,0.5798,16.65387795
Actaea cimicifuga,0.1747,195.4544444
Cornus kousa,0.37895,51.5947027
Anaphalis aureopunctata,0.13695,479.155
Cotoneaster adpressus,0.24365,88.57128378
Prunus avium,0.2005625,142.0840804
Solidago decurrens,0.248225,202.88375
Litsea ichangensis,0.4037375,61.46794831
Pinus tabuliformis,0.182325,129.8223077
Acer campbellii,0.18975,79.07241758
Tilia oliveri,0.206975,149.6261111
Hosta ventricosa,0.40705,60.45922807
Osmunda japonica,0.418775,23.52217391
