F00679,F00727,F00261,F00709,F00043,F00056,F00645,F00004,F01286,F01287,F01289,F01290
0.942475,5.28487033,18.454125,0.32,C3,3.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Gleditsia,triacanthos,Fabaceae,Fabales
0.35533333,50.5249308,21.6178333,0.094,,1.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Halesia,tetraptera,Styracaceae,Ericales
0.339,30.3836575,20.5901667,0.12,,2.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Halesia,tetraptera,Styracaceae,Ericales
1.0092,9.66209977,13.0018333,0.21,,3.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Halesia,tetraptera,Styracaceae,Ericales
0.48775,24.2948197,12.6095,0.189,,1.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Hamamelis,virginiana,Hamamelidaceae,Saxifragales
0.547,14.0447202,10.695625,0.23,,2.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Hamamelis,virginiana,Hamamelidaceae,Saxifragales
0.994275,4.43548109,8.3775,0.34,,3.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Hamamelis,virginiana,Hamamelidaceae,Saxifragales
0.34875,44.4679349,15.9265,0.107,C3,1.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Ilex,opaca,Aquifoliaceae,Aquifoliales
0.42,27.618029,11.271625,0.15,C3,2.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Ilex,opaca,Aquifoliaceae,Aquifoliales
0.951425,5.98872043,8.372875,0.28,C3,3.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Ilex,opaca,Aquifoliaceae,Aquifoliales
0.437,31.2309868,26.1415,0.149,C3,1.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Juglans,nigra,Juglandaceae,Fagales
0.6945,16.8775084,19.1701667,0.22,C3,2.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Juglans,nigra,Juglandaceae,Fagales
0.97633333,3.87791837,13.2288333,0.36,C3,3.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Juglans,nigra,Juglandaceae,Fagales
0.3545,97.5361959,10.60925,0.062,C3,1.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Koelreuteria,paniculata,Sapindaceae,Sapindales
0.4905,46.9973275,9.77025,0.11,C3,2.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Koelreuteria,paniculata,Sapindaceae,Sapindales
0.76025,8.74518973,8.8165,0.26,C3,3.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Koelreuteria,paniculata,Sapindaceae,Sapindales
0.4775,31.7217945,11.675,0.148,C3,1.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Liquidambar,styraciflua,Altingiaceae,Saxifragales
