binominal,F01286,F01287,F01289,F01290,state
Cycas panzhihuaensis,Cycas,panzhihuaensis,Cycadaceae,Cycadales,AM
Cydonia oblonga,Cydonia,oblonga,Rosaceae,Rosales,AM
Cystopteris sudetica,Cystopteris,sudetica,Cystopteridaceae,Polypodiales,AM
Cytisus grandiflorus,Cytisus,grandiflorus,Fabaceae,Fabales,AM
Dacrycarpus dacrydioides,Dacrycarpus,dacrydioides,Podocarpaceae,Araucariales,AM
Dacrycarpus imbricatus,Dacrycarpus,imbricatus,Podocarpaceae,Araucariales,AM
Dacrydium balansae,Dacrydium,balansae,Podocarpaceae,Araucariales,AM
Dacrydium cupressinum,Dacrydium,cupressinum,Podocarpaceae,Araucariales,AM
Dacrydium gracile,Dacrydium,gracile,Podocarpaceae,Araucariales,AM
Dacrydium pectinatum,Dacrydium,pectinatum,Podocarpaceae,Araucariales,AM
Dacryodes peruviana,Dacryodes,peruviana,Burseraceae,Sapindales,AM
Dactylis glomerata,Dactylis,glomerata,Poaceae,Poales,AM
Dalea purpurea,Dalea,purpurea,Fabaceae,Fabales,AM
Danthonia intermedia,Danthonia,intermedia,Poaceae,Poales,AM
Daphniphyllum pentandrum,Daphniphyllum,pentandrum,Daphniphyllaceae,Saxifragales,AM
Daucus carota,Daucus,carota,Apiaceae,Apiales,AM
Decaspermum gracilentum,Decaspermum,gracilentum,Myrtaceae,Myrtales,AM
Dendropanax dentigerus,Dendropanax,dentigerus,Araliaceae,Apiales,AM
Deschampsia cespitosa,Deschampsia,cespitosa,Poaceae,Poales,AM
Descurainia sophia,Descurainia,sophia,Brassicaceae,Brassicales,NM
Desmodium canadense,Desmodium,canadense,Fabaceae,Fabales,AM
Deutzia glabrata,Deutzia,glabrata,Hydrangeaceae,Cornales,AM
Deutzia grandiflora,Deutzia,grandiflora,Hydrangeaceae,Cornales,AM
Dicksonia squarrosa,Dicksonia,squarrosa,Dicksoniaceae,Cyatheales,AM
Dicranopteris linearis,Dicranopteris,linearis,Gleicheniaceae,Gleicheniales,AM
Dicranopteris pedata,Dicranopteris,pedata,Gleicheniaceae,Gleicheniales,AM
Didymocheton spectabilis,Didymocheton,spectabilis,Meliaceae,Sapindales,
Dioon rzedowskii,Dioon,rzedowskii,Zamiaceae,Cycadales,AM
Dioscorea nipponica,Dioscorea,nipponica,Dioscoreaceae,Dioscoreales,AM
Diospyros strigosa,Diospyros,strigosa,Ebenaceae,Ericales,AM
Diospyros virginiana,Diospyros,virginiana,Ebenaceae,Ericales,AM
