binominal,F01286,F01287,F01289,F01290,reconciled_state,source,synonyms
Betula fruticosa,Betula,fruticosa,Betulaceae,Fagales,EcM,FRED4,
Betula lenta,Betula,lenta,Betulaceae,Fagales,EcM,FRED4,
Betula pendula,Betula,pendula,Betulaceae,Fagales,EcM,FRED4,"['Betula alba lusus pendula', 'Betula alba var. pendula', 'Betula alba var. pendula']"
Betula utilis,Betula,utilis,Betulaceae,Fagales,EcM,FRED4,
Bituminaria bituminosa,Bituminaria,bituminosa,Fabaceae,Fabales,AM,FungalRoot,"['Aspalthium bituminosum', 'Lotodes bituminosum', 'Rhynchodium bituminosum', 'Psoralea bituminosa', 'Bipontinia bituminosa']"
Blastus cochinchinensis,Blastus,cochinchinensis,Melastomataceae,Myrtales,AM,FRED4,
Blastus pauciflorus,Blastus,pauciflorus,Melastomataceae,Myrtales,AM,FRED4,"['Oxyspora pauciflora', 'Allomorphia pauciflora']"
Blechnopsis orientalis,Blechnopsis,orientalis,Blechnaceae,Polypodiales,AM,FRED4,
Blechnum fluviatilis,Blechnum,fluviatilis,Aspleniaceae,Polypodiales,,,
Blechnum lanceolatum,Blechnum,lanceolatum,Aspleniaceae,Polypodiales,,,
Blepharocalyx eggersii,Blepharocalyx,eggersii,Myrtaceae,Myrtales,AM,FRED4,"['Marlieriopsis eggersii', 'Mitranthes eggersii']"
Blumeodendron tokbrai,Blumeodendron,tokbrai,Euphorbiaceae,Malpighiales,,,"['Mallotus tokbrai', 'Elateriospermum tokbrai', 'Blumeodendron elateriospermum', 'Rottlera tokbrai']"
Bouteloua curtipendula,Bouteloua,curtipendula,Poaceae,Poales,AM,Maherali et. al. 2016,"['Cynodon curtipendulus', 'Atheropogon curtipendulus', 'Dinebra curtipendula', 'Andropogon curtipendulus', 'Chloris curtipendula', 'Eutriana curtipendula']"
Bouteloua gracilis,Bouteloua,gracilis,Poaceae,Poales,AM,Maherali et. al. 2016,"['Atheropogon gracilis', 'Chondrosum gracile', 'Eutriana gracilis', 'Actinochloa gracilis']"
