binominal,F01286,F01289,F00679,F00727,F00709,state,state_source,synonym
Ilex_macropoda,Ilex,Aquifoliaceae,-1.171182982,4.407450687,-1.427116356,AM,"(Brundrett and Tedersoo, 2018)","('Ilex montana var. macropoda', 'Ilex monticola var. macropoda', 'Ilex dubia var. macropoda', 'Ilex ambigua subsp. macropoda', 'Ilex ambigua var. macropoda')"
Ilex_verticillata,Ilex,Aquifoliaceae,-0.449260268,3.42350697304656,-2.282938095,AM,Maherali et. al. 2016,"('Prinos verticillatus',)"
Ilex_teratopis,Ilex,Aquifoliaceae,-0.53043327,1.98280996007733,-0.658051193,AM,"(Brundrett and Tedersoo, 2018)",
Ilex_laurina,Ilex,Aquifoliaceae,-0.74424766,2.867807317,-1.117574573,AM,"(Brundrett and Tedersoo, 2018)",
Ilex_opaca,Ilex,Aquifoliaceae,-0.790598347,3.422160971,-1.825574818,AM,FRED4,"('Ageria opaca', 'Ilex aquifolium var. opaca')"
Ilex_pedunculosa,Ilex,Aquifoliaceae,-1.203972804,4.003690194,-1.237874356,AM,"(Soudzilovskaia et al., 2020)",
Pseudodictamnus_hirsutus,Pseudodictamnus,Lamiaceae,-1.036271493,1.66605328648796,-0.61509537,AM,"(Brundrett and Tedersoo, 2018)","('Marrubium hirsutum',)"
Hedeoma_hispida,Hedeoma,Lamiaceae,-1.514127733,5.11198778835654,-1.897119985,AM,"(Brundrett and Tedersoo, 2018)","('Cunila hispida', 'Ziziphora hispida')"
Monarda_fistulosa,Monarda,Lamiaceae,-1.171182982,4.79579054559674,-2.207274913,AM,"(Soudzilovskaia et al., 2020)",
Pycnanthemum_virginianum,Pycnanthemum,Lamiaceae,-1.078809661,4.43081679884331,-2.040220829,AM,Maherali et. al. 2016,"('Brachystemum virginicum', 'Thymus virginicus', 'Satureja virginiana', 'Koellia virginiana', 'Koellia virginica')"
Clinopodium_nepeta,Clinopodium,Lamiaceae,-1.316768298,4.86753445045558,-1.973281346,AM,"(Brundrett and Tedersoo, 2018)","('Melissa nepeta', 'Satureja nepeta', 'Calamintha officinalis var. nepeta', 'Satureja calamintha var. nepeta', 'Thymus nepeta', 'Satureja calamintha subsp. nepeta', 'Calamintha nepeta')"
Thymus_mastichina,Thymus,Lamiaceae,-1.269667549,3.05793305446118,-0.073923107,AM,Maherali et. al. 2016,"('Origanum mastichina', 'Satureja mastichina')"
Thymus_hyemalis,Thymus,Lamiaceae,-0.874009802,1.59961006233386,-0.430654741,AM,Maherali et. al. 2016,"('Origanum hyemale', 'Thymus vulgaris var. hyemalis')"
Thymus_dolomiticus,Thymus,Lamiaceae,-1.244410354,4.59635323163107,-1.216851347,AM,"(Brundrett and Tedersoo, 2018)",
Agastache_foeniculum,Agastache,Lamiaceae,-0.867500568,3.68887945411394,-1.714798428,AM,"(Brundrett and Tedersoo, 2018)","('Stachys foeniculum', 'Lophanthus foeniculum', 'Hyssopus foeniculum', 'Vleckia foeniculum')"
Salvia_rosmarinus,Salvia,Lamiaceae,-0.857235969,2.46736396312619,-0.626272669,AM,FRED4,"('Rosmarinus officinalis',)"
Salvia_chinensis,Salvia,Lamiaceae,-1.837594006,5.79714861725624,-1.885691289,AM,FRED4,"('Salvia japonica var. chinensis',)"
Lavandula_multifida,Lavandula,Lamiaceae,-1.021917487,2.80121346562929,-0.236400531,AM,FRED4,
Teucrium_charidemi,Teucrium,Lamiaceae,-0.795955401,1.29584995155706,-0.588682636,AM,"(Brundrett and Tedersoo, 2018)",
Teucrium_chamaedrys,Teucrium,Lamiaceae,-1.241328591,4.89783979995091,-2.171556831,AM,FRED4,
Teucrium_fruticans,Teucrium,Lamiaceae,-0.964103249,2.70075197975555,-0.430581852,AM,FRED4,
Lamium_album,Lamium,Lamiaceae,-1.999521919,5.79215628641549,-1.524880524,NMAM,FRED4,
Phlomoides_umbrosa,Phlomoides,Lamiaceae,-1.408335492,4.81088261253778,-1.727092654,AM,FRED4,"('Phlomis umbrosa',)"
Phlomis_purpurea,Phlomis,Lamiaceae,-0.804721406,2.07078330950627,-0.645898519,AM,FRED4,
Sideritis_pusilla,Sideritis,Lamiaceae,-1.156214919,1.96704601268702,-0.64601801,AM,"(Brundrett and Tedersoo, 2018)","('Sideritis scordioides var. pusilla',)"
Vitex_lucens,Vitex,Lamiaceae,-0.609204396,3.72221360896298,-2.157163957,AM,FRED4,
Orthocarpus_luteus,Orthocarpus,Orobanchaceae,-1.578908707,4.43521781443709,-1.09861229,NM,"(Soudzilovskaia et al., 2020)",
Strobilanthes_dimorphotricha,Strobilanthes,Acanthaceae,-1.31378767,4.9158935561649,-2.006790851,AM,FRED4,"('Goldfussia dimorphotricha',)"
Handroanthus_guayacan,Handroanthus,Bignoniaceae,-0.111182439,2.39604057985005,-1.780824256,AM,FRED4,"('Tabebuia guayacan', 'Tecoma guayacan')"
Handroanthus_ochraceus,Handroanthus,Bignoniaceae,-0.396910717,2.4887416651024,-1.548737617,AM,FRED4,"('Tecoma ochracea', 'Tabebuia ochracea')"
Tanaecium_pyramidatum,Tanaecium,Bignoniaceae,-0.336783617,2.96605195845281,-1.97049522,AM,FRED4,"('Haplolophium pyramidatum', 'Paragonia pyramidata', 'Tabebuia pyramidata', 'Bignonia pyramidata')"
Catalpa_bignonioides,Catalpa,Bignoniaceae,-0.952168468,3.43029077680524,-2.145581344,AM,FRED4,
Verbena_hastata,Verbena,Verbenaceae,-1.139434283,4.52178857704904,-2.040220829,AM,Maherali et. al. 2016,
Verbascum_thapsus,Verbascum,Scrophulariaceae,-1.108662625,4.094344562,-1.660731207,AM,FRED4,
Veronica_persica,Veronica,Plantaginaceae,-1.46967597,6.22059017009974,-2.525728644,AM,"(Soudzilovskaia et al., 2020)","('Pocilla persica',)"
Veronica_spuria,Veronica,Plantaginaceae,-1.678252228,5.42457917031199,-1.810108606,AM,FRED4,"('Veronica foliosa var. spuria', 'Pseudolysimachion spurium')"
Veronicastrum_virginicum,Veronicastrum,Plantaginaceae,-1.203972804,4.87519732320115,-2.207274913,AM,"(Soudzilovskaia et al., 2020)","('Callistachya virginica', 'Paederota virginica', 'Leptandra virginica', 'Veronica virginica')"
Plantago_lanceolata,Plantago,Plantaginaceae,-1.195729101,5.6564602870817,-3.348666992,AM,FRED4,"('Lagopus lanceolatus', 'Arnoglossum lanceolatum')"
Plantago_patagonica,Plantago,Plantaginaceae,-1.753115848,5.14620371390475,-0.899761429,AM,"(Soudzilovskaia et al., 2020)",
Penstemon_bradburyi,Penstemon,Plantaginaceae,-0.891598119,3.93182563272433,-1.897119985,AM,"(Soudzilovskaia et al., 2020)","('Chelone bradburyi',)"
Penstemon_nitidus,Penstemon,Plantaginaceae,-1.119631656,3.25243643481652,-0.774116243,AM,"(Soudzilovskaia et al., 2020)",
