binominal,F01286,F01289,F00679,F00727,F00709,state,state_source,synonyms
Hymenoxys richardsonii,Hymenoxys,Asteraceae,-1.26443077336305,4.235371220014702,-1.4600605123164376,AM,"(Soudzilovskaia et al., 2020)","['Picradenia richardsonii', 'Actinea richardsonii', 'Actinella richardsonii']"
Inula conyza,Inula,Asteraceae,-1.0966142860054366,5.288267030694535,-2.6036901857779675,AM,FRED4,
Lactuca tatarica,Lactuca,Asteraceae,-1.0896773246105305,4.34629184061853,-1.5453958707720703,AM,FRED4,"['Lagedium tataricum', 'Wiestia tatarica', 'Mulgedium tataricum', 'Sonchus tataricus', 'Agathyrsus tataricus']"
Launaea arborescens,Launaea,Asteraceae,-0.9779666873982495,1.8622937900490928,-0.781773763838675,AM,"(Brundrett and Tedersoo, 2018)",['Zollikoferia arborescens']
Liatris aspera,Liatris,Asteraceae,-0.7985076962177716,4.382026634673881,-2.525728644308256,AM,(Maherali et. al. 2016),"['Lacinaria scariosa var. aspera', 'Lacinaria aspera']"
Lygodesmia juncea,Lygodesmia,Asteraceae,-0.9946577609482604,3.501256317347026,-1.0232459239083038,AM,FRED4,['Prenanthes juncea']
Nabalus tatarinowii,Nabalus,Asteraceae,-1.723727058836228,5.837122182327003,-2.1484344103096444,AM,FRED4,['Prenanthes tatarinowii']
Olearia avicenniaefolia,Olearia,Asteraceae,-0.7339691750802004,2.9856819377004897,-1.3093333199837622,AM,FRED4,
Olearia rani,Olearia,Asteraceae,-0.6216951131533057,3.80891799302419,-2.211013538603064,AM,FRED4,"['Brachyglottis rani', 'Aster rani']"
Pappobolus microphyllus,Pappobolus,Asteraceae,-0.7462131821068964,5.638532589448084,-3.3382225825007668,AM,"(Brundrett and Tedersoo, 2018)","['Leighia microphylla', 'Helianthopsis microphylla', 'Viguiera microphylla', 'Helianthus microphyllus']"
Picris hieracioides,Picris,Asteraceae,-1.324258970200438,5.298317366548036,-2.137070654516472,AM,FRED4,['Crepis hieracioides']
Pilosella officinarum,Pilosella,Asteraceae,-0.927479091293529,4.270376934648585,-2.0652420388171864,AM,FRED4,['Hieracium pilosella']
Ratibida pinnata,Ratibida,Asteraceae,-0.8209805520698302,4.02535169073515,-2.120263536200091,AM,"(Soudzilovskaia et al., 2020)","['Lepachys pinnata', 'Rudbeckia pinnata', 'Helianthus pinnatus', 'Obeliscaria pinnata']"
Saussurea amurensis,Saussurea,Asteraceae,-1.6039529822035308,5.5051756973674,-2.051270661379806,AM,FRED4,['Theodorea amurensis']
Saussurea mongolica,Saussurea,Asteraceae,-1.526016304295028,5.015324960401109,-1.7066016635408094,AM,FRED4,['Saussurea ussuriensis var. mongolica']
Saussurea nivea,Saussurea,Asteraceae,-1.3178883284558305,4.7660689036512505,-1.88706964583238,AM,FRED4,
Solidago decurrens,Solidago,Asteraceae,-1.3934196860624792,5.312633154910845,-2.2868367319634064,AM,FRED4,
Solidago missouriensis,Solidago,Asteraceae,-1.1278866303423978,4.607294958060293,-1.569380069002935,AM,"(Soudzilovskaia et al., 2020)",['Aster missouriensis']
Solidago nemoralis,Solidago,Asteraceae,-1.0028703838886066,5.764657181120432,-2.366930416795424,AM,(Maherali et. al. 2016),
Solidago ptarmicoides,Solidago,Asteraceae,-0.941608539858445,3.5263605246161616,-1.4271163556401458,AM,"(Brundrett and Tedersoo, 2018)","['Doellingeria ptarmicoides', 'Aster albus', 'Aster ptarmicoides', 'Chrysopsis alba', 'Diplopappus albus', 'Eucephalus albus', 'Heleastrum album', 'Inula alba', 'Oligoneuron album', 'Solidago asteroides', 'Unamia alba', 'Unamia ptarmicoides']"
Solidago rigida,Solidago,Asteraceae,-0.7290367532474269,3.586696471228973,-1.5474959547641096,AM,(Maherali et. al. 2016),['Leioligo rigida']
Solidago speciosa,Solidago,Asteraceae,-0.9675840262617056,3.828641396489095,-1.6607312068216509,AM,"(Soudzilovskaia et al., 2020)","['Aster speciosus', 'Leioligo speciosa']"
Symphyotrichum ciliolatum,Symphyotrichum,Asteraceae,-1.7406861990440543,4.71076309414069,-1.0086640529729125,AM,"(Brundrett and Tedersoo, 2018)","['Aster ciliolatus', 'Aster lindleyanus var. ciliolatus']"
