Dataset,SpeciesName,AccSpeciesName,TraitID,OrigValueStr
FRED - Fine Root Ecology Database,Castanopsis echinocarpa,Castanopsis echinocarpa,7.0,EM
FRED - Fine Root Ecology Database,Castanopsis wattii,Castanopsis wattii,7.0,EM
FRED - Fine Root Ecology Database,Aporusa dioica,Aporosa octandra,7.0,AM
FRED - Fine Root Ecology Database,Macaranga sampsonii,Macaranga sampsonii,7.0,AM
FRED - Fine Root Ecology Database,Aporusa yunnanensis,Aporosa yunnanensis,7.0,AM
FRED - Fine Root Ecology Database,Endospermum chinense,Endospermum chinense,7.0,AM
FRED - Fine Root Ecology Database,Antidesma maclurei,Antidesma maclurei,7.0,AM
FRED - Fine Root Ecology Database,Elaeocarpus dubius,Elaeocarpus dubius,7.0,AM
FRED - Fine Root Ecology Database,Ficus variolosa,Ficus variolosa,7.0,AM
FRED - Fine Root Ecology Database,Artocarpus styracifolius,Artocarpus styracifolius,7.0,AM
FRED - Fine Root Ecology Database,Gironniera subaequalis,Gironniera subaequalis,7.0,NM
FRED - Fine Root Ecology Database,Celtis sinensis,Celtis sinensis,7.0,AM
FRED - Fine Root Ecology Database,Canarium album,Canarium album,7.0,AM
FRED - Fine Root Ecology Database,Pistacia chinensis,Pistacia chinensis,7.0,AM
FRED - Fine Root Ecology Database,Acronychia pedunculata,Acronychia pedunculata,7.0,AM
FRED - Fine Root Ecology Database,Euodia lepta,Melicope pteleifolia,7.0,AM
FRED - Fine Root Ecology Database,Nephelium lappaceum,Nephelium lappaceum,7.0,AM
FRED - Fine Root Ecology Database,Vaccinium mandarinorum,Vaccinium mandarinorum,7.0,ER
FRED - Fine Root Ecology Database,Barringtonia racemosa,Barringtonia racemosa,7.0,AM
FRED - Fine Root Ecology Database,Pentaphylax euryoides,Pentaphylax euryoides,7.0,AM
FRED - Fine Root Ecology Database,Schima wallichii,Schima wallichii,7.0,AM
FRED - Fine Root Ecology Database,Alstonia scholaris,Alstonia scholaris,7.0,AM
FRED - Fine Root Ecology Database,Catunaregam spinosa,Catunaregam spinosa,7.0,AM
FRED - Fine Root Ecology Database,Wendlandia uvariifolia,Wendlandia uvariifolia,7.0,AM
FRED - Fine Root Ecology Database,Psychotria asiatica,Psychotria asiatica,7.0,AM
FRED - Fine Root Ecology Database,Osmanthus didymopetalus,Osmanthus didymopetalus,7.0,AM
FRED - Fine Root Ecology Database,Olea rosea,Olea rosea,7.0,AM
FRED - Fine Root Ecology Database,Schefflera minutistellata,Schefflera minutistellata,7.0,AM
FRED - Fine Root Ecology Database,Macropanax undulatum,Macropanax undulatus,7.0,AM
FRED - Fine Root Ecology Database,Pterospermum acerifolium,Pterospermum acerifolium,7.0,AM
