binominal,SRL
Helianthus_maximiliani,5.588259383400662
Helianthus_mollis,5.658174741178069
Helianthus_neglectus,5.5967724511598815
Helianthus_niveus,5.549348421349137
Helianthus_occidentalis,5.692788933181335
Helianthus_pauciflorus,3.9512437185814275
Helianthus_petiolaris,5.6947249118337
Helianthus_porteri,5.974860797941202
Helianthus_praecox,5.948844061271341
Helianthus_radula,5.563677139995326
Helianthus_salicifolius,5.513247278087744
Helianthus_silphioides,5.455534767746079
Helianthus_verticillatus,5.432564128235085
Helichrysum_italicum,2.91169127715811
Helichrysum_stoechas,1.8107268950627968
Heliopsis_helianthoides,4.1588830833596715
Hesperis_matronalis,6.077521545790147
Heterotheca_villosa,4.649990266460689
Heuchera_richardsonii,4.5134432929167865
Hoheria_lyallii,3.6376550512630836
Hoheria_sexstylosa,3.1747385806282606
Holcus_lanatus,5.832711321341544
Hordeum_murinum,5.322975965389215
Hymenoxys_richardsonii,4.235371220014702
Hypericum_perforatum,6.446661646330484
Hypobathrum_racemosum,2.4349198419260096
Hypochaeris_radicata,3.9917579734469997
Ilex_macropoda,4.40745068701404
Ilex_pedunculosa,4.00369019395397
Ilex_verticillata,3.423506973046555
Inula_conyza,5.108910770030852
Iris_versicolor,4.77912349311153
Jasminum_fruticans,2.6862280519037403
Juncus_effusus,3.6723689019869465
Juniperus_phoenicea,2.083632139845222
Knightia_excelsa,3.8155490559505125
