"binominal","state","SRL"
"Sterculia_lanceolata","AM",4.58630436168493
"Sterculia_nobilis","AM",4.56767598156051
"Theobroma_cacao","AM",3.46712382807457
"Shorea_multiflora","EcM",0.662889745501317
"Shorea_acuminata","EcM",3.31356961510714
"Shorea_leprosula","EcM",3.2188467284449
"Fumana_thymifolia","EcM",1.70758453101262
"Cistus_monspeliensis","EcM",2.29291096899025
"Cistus_libanotis","EcM",2.33835944348674
"Cistus_crispus","EcM",2.52003676585818
"Cistus_albidus","EcM",1.94099491685454
"Cistus_ladanifer","EcM",2.22679578208985
"Cistus_salviifolius","EcM",2.26788287205792
"Halimium_halimifolium","EcM",2.2403200814738
"Halimium_commutatum","EcM",1.88184779278088
"Helianthemum_syriacum","EcM",1.35689295994015
