binominal,state,RD
Magnolia_champaca,AM,-0.7689057449610968
Magnolia_championii,AM,-0.6106459590482015
Magnolia_chapensis,AM,-0.4996109934663938
Magnolia_dandyi,AM,-0.4720857954500601
Magnolia_denudata,AM,-0.6998722331194441
Magnolia_ernestii,AM,-0.30001784621290184
Magnolia_fulva,AM,-0.40936771337543165
Magnolia_grandiflora,AM,-1.041747653810314
Magnolia_kobus,AM,-0.8268555031213605
Magnolia_lotungensis,AM,-0.36118509941661847
Magnolia_macclurei,AM,-0.6534563394725827
Magnolia_macrophylla,AM,-1.6124218098313137
Magnolia_maudiae,AM,-0.505556198273215
Magnolia_odora,AM,-0.5681852001907166
Magnolia_opipara,AM,-0.5746888174329436
Magnolia_stellata,AM,-0.836360584381432
Magnolia_tripetala,AM,-0.6780381096103252
Magnolia_virginiana,AM,-2.2178719549334867
Magnolia_yunnanensis,AM,-0.3274768169962273
Magnolia_yuyuanensis,AM,-0.6733445532637656
Mallotus_paniculatus,AM,-1.4447712908788664
Malus_baccata,AM,-1.4443581616398693
Malus_domestica,AM,-1.6901058155015551
Manglietia_paruicula,AM,-0.6853972886998859
Matteuccia_struthiopteris,AM,-1.3744473706573066
Melicope_pteleifolia,AM,-1.3705391291753843
Memecylon_nigrescens,AM,-1.5957335476830126
Microcos_paniculata,AM,-2.1468642179972703
Microtropis_discolor,AM,-0.7789447490587033
Millettia_leptobotrya,AM,-1.0741733667910915
Myrsine_seguinii,AM,-1.264814462401369
Nabalus_tatarinowii,AM,-1.7237270588362281
Neolitsea_phanerophlebia,AM,-0.6539264674066639
Nephelium_lappaceum,AM,-1.839794918266612
Nyssa_aquatica,AM,-1.7146544384589315
Nyssa_sylvatica,AM,-0.12972911046985044
Ocotea_lancifolia,AM,-1.0532272095118613
Olea_rosea,AM,-0.9304910812752964
Onoclea_sensibilis,AM,-1.3859732726743033
Oreocnide_frutescens,NMAM,-1.4304552569056603
Orophea_creaghii,AM,-0.9179420946233856
Osmanthus_didymopetalus,AM,-0.32921265129195343
Osmunda_japonica,AM,-0.8704214961323867
Parthenocissus_quinquefolia,AM,-1.7385977314684775
Pentaphylax_euryoides,AM,-2.1147786059695215
Pertusadina_metcalfii,AM,-1.8679496075861015
Phellodendron_amurense,AM,-0.6963355101710184
Philadelphus_incanus,AM,-1.6596791288708477
Phlomoides_umbrosa,AM,-1.408335491996771
Picea_glauca,EcM,-1.4696759700589417
Picea_koraiensis,EcM,-1.1149587109178323
Picea_meyeri,EcM,-1.2763853806295908
Picea_wilsonii,EcM,-1.3316569104612996
Pinus_armandii,EcM,-1.2796438161078534
Pinus_edulis,EcM,-0.9675840262617056
Pinus_elliottii,EcM,-1.2021226652226178
Pinus_koraiensis,EcM,-0.7108580843877791
